iter	Passed	Remaining
210	442	1653
211	444	1650
212	446	1649
213	448	1647
214	450	1645
215	452	1642
216	454	1640
217	456	1637
218	458	1635
219	460	1633
220	462	1631
221	465	1629
222	466	1627
223	469	1624
224	471	1622
225	473	1619
226	475	1617
227	477	1615
228	479	1612
229	481	1610
230	483	1610
231	486	1609
232	488	1608
233	490	1606
234	492	1604
235	495	1602
236	496	1599
237	498	1597
238	500	1594
239	503	1593
240	505	1591
241	507	1588
242	509	1586
243	511	1583
244	513	1582
245	515	1581
246	518	1582
247	521	1581
248	523	1580
249	526	1579
250	529	1579
251	532	1580
252	535	1580
253	538	1582
254	541	1581
255	543	1580
256	546	1580
257	548	1578
258	551	1578
259	554	1577
260	556	1575
261	558	1573
262	560	1571
263	562	1568
264	565	1567
265	567	1566
266	569	1563
267	571	1561
268	573	1558
269	575	1556
270	577	1553
271	579	1551
272	582	1551
273	585	1550
274	588	1550
275	590	1548
276	593	1547
277	595	1546
278	598	1547
279	601	1546
280	603	1545
281	606	1542
282	608	1541
283	610	1540
284	613	1539
285	616	1539
286	619	1537
287	621	1536
288	623	1534
289	625	1532
290	628	1530
291	630	1528
292	633	1527
293	635	1526
294	638	1524
295	640	1523
296	642	1521
297	644	1519
298	647	1517
299	649	1516
300	652	1514
301	654	1512
302	656	1510
303	659	1508
304	661	1507
305	664	1506
306	666	1504
307	668	1501
308	670	1499
309	672	1496
310	674	1494
311	676	1492
312	679	1490
313	682	1490
314	685	1489
315	687	1487
316	689	1485
317	691	1483
318	694	1481
319	696	1480
320	700	1481
321	703	1480
322	705	1477
323	706	1475
324	709	1472
325	711	1470
326	713	1469
327	716	1468
328	719	1466
329	721	1464
330	723	1462
331	725	1460
332	728	1458
333	731	1458
334	733	1456
335	736	1454
336	738	1453
337	741	1451
338	743	1450
339	747	1450
340	749	1448
341	752	1447
342	754	1446
343	757	1444
344	761	1445
345	763	1443
346	766	1441
347	769	1441
348	772	1440
349	774	1438
350	777	1438
351	780	1436
352	782	1434
353	784	1431
354	787	1429
355	789	1428
356	792	1427
357	795	1426
358	798	1425
359	800	1422
360	802	1421
361	805	1418
362	807	1417
363	810	1416
364	813	1415
365	816	1413
366	819	1412
367	821	1411
368	824	1409
369	826	1407
370	829	1405
371	831	1403
372	833	1401
373	835	1399
374	838	1397
375	840	1395
376	843	1394
377	845	1392
378	848	1389
379	850	1387
380	852	1385
381	855	1383
382	858	1382
383	860	1380
384	862	1377
385	864	1375
386	867	1373
387	869	1370
388	871	1369
389	874	1368
390	877	1366
391	879	1364
392	882	1362
393	885	1361
394	888	1360
395	890	1358
396	893	1356
397	895	1354
398	897	1352
399	900	1350
400	903	1349
401	906	1348
402	908	1346
403	911	1344
404	913	1342
405	916	1340
406	919	1339
407	922	1338
408	924	1336
409	926	1333
410	929	1332
411	932	1330
412	935	1329
413	938	1328
414	940	1326
415	942	1323
416	945	1321
417	948	1320
418	951	1319
419	955	1319
420	957	1317
421	960	1315
422	962	1313
423	965	1311
424	968	1309
425	970	1307
426	972	1305
427	975	1303
428	977	1301
429	979	1298
430	982	1296
431	985	1295
432	988	1294
433	990	1292
434	993	1290
435	995	1288
436	998	1285
437	1000	1283
438	1003	1281
439	1005	1279
440	1007	1277
441	1009	1274
442	1012	1272
443	1014	1270
444	1016	1268
445	1019	1266
446	1022	1264
447	1024	1262
448	1026	1259
449	1028	1257
450	1030	1254
451	1033	1252
452	1036	1251
453	1038	1248
454	1040	1246
455	1042	1244
456	1045	1241
457	1047	1239
458	1049	1236
459	1054	1238
460	1075	1257
461	1078	1255
462	1080	1253
463	1082	1251
464	1087	1251
465	1091	1251
466	1093	1248
467	1095	1245
468	1098	1243
469	1101	1242
470	1104	1240
471	1107	1238
472	1109	1236
473	1111	1233
474	1114	1231
475	1117	1229
476	1119	1227
477	1121	1224
478	1124	1222
479	1126	1220
480	1128	1217
481	1131	1215
482	1134	1213
483	1135	1211
484	1138	1208
485	1140	1206
486	1143	1204
487	1145	1201
488	1148	1199
489	1150	1197
490	1152	1194
491	1154	1192
492	1157	1190
493	1159	1187
494	1161	1185
495	1164	1183
496	1166	1180
497	1169	1178
498	1171	1176
499	1173	1173
500	1175	1171
501	1178	1169
502	1181	1167
503	1184	1165
504	1186	1162
505	1188	1159
506	1189	1157
507	1191	1154
508	1194	1151
509	1196	1149
510	1199	1147
511	1201	1144
512	1203	1142
513	1205	1139
514	1207	1137
515	1209	1134
516	1211	1132
517	1213	1129
518	1215	1126
519	1217	1123
520	1219	1121
521	1221	1118
522	1223	1115
523	1225	1113
524	1227	1110
525	1229	1108
526	1231	1105
527	1233	1102
528	1235	1099
529	1236	1096
530	1239	1094
531	1241	1091
532	1243	1089
533	1245	1086
534	1247	1084
535	1249	1081
536	1251	1078
537	1253	1076
538	1255	1073
539	1257	1070
540	1259	1068
541	1261	1065
542	1263	1063
543	1265	1060
544	1266	1057
545	1268	1055
546	1270	1052
547	1273	1050
548	1275	1047
549	1277	1044
550	1279	1042
551	1280	1039
552	1282	1036
553	1284	1034
554	1286	1031
555	1288	1028
556	1290	1026
557	1292	1024
558	1294	1021
559	1296	1019
560	1298	1016
561	1300	1013
562	1302	1010
563	1304	1008
564	1306	1006
565	1309	1003
566	1310	1001
567	1312	998
568	1314	995
569	1316	993
570	1318	990
571	1320	987
572	1322	985
573	1324	982
574	1326	980
575	1328	978
576	1330	975
577	1332	973
578	1334	970
579	1336	967
580	1338	965
581	1340	962
582	1342	960
583	1344	957
584	1346	955
585	1348	952
586	1350	949
587	1352	947
588	1354	944
589	1356	942
590	1358	940
591	1360	937
592	1362	935
593	1364	932
594	1366	929
595	1367	927
596	1369	924
597	1371	922
598	1373	919
599	1375	917
600	1377	914
601	1378	911
602	1380	909
603	1382	906
604	1384	904
605	1386	901
606	1388	899
607	1391	896
608	1392	894
609	1394	891
610	1396	888
611	1398	886
612	1399	883
613	1401	881
614	1403	878
615	1405	875
616	1407	873
617	1409	870
618	1410	868
619	1413	866
620	1415	863
621	1417	861
622	1419	859
623	1421	856
624	1423	854
625	1425	851
626	1427	849
627	1429	846
628	1431	844
629	1433	841
630	1434	839
631	1436	836
632	1438	834
633	1440	831
634	1442	828
635	1443	826
636	1445	823
637	1447	821
638	1449	818
639	1451	816
640	1453	813
641	1455	811
642	1456	808
643	1458	806
644	1460	803
645	1462	801
646	1463	798
647	1465	796
648	1467	793
649	1469	791
650	1471	788
651	1473	786
652	1474	783
653	1476	781
654	1478	778
655	1479	776
656	1481	773
657	1483	771
658	1485	768
659	1487	766
660	1489	763
661	1491	761
662	1493	758
663	1494	756
664	1496	753
665	1498	751
666	1500	748
667	1502	746
668	1503	744
669	1505	741
670	1507	739
671	1509	736
672	1511	734
673	1512	731
674	1514	729
675	1516	726
676	1518	724
677	1520	722
678	1522	719
679	1523	717
680	1525	714
681	1528	712
682	1530	710
683	1531	707
684	1533	705
685	1535	702
686	1537	700
687	1539	698
688	1540	695
689	1542	693
690	1544	690
691	1546	688
692	1548	685
693	1550	683
694	1552	681
695	1553	678
696	1555	676
697	1557	673
698	1559	671
699	1560	668
700	1562	666
701	1564	664
702	1566	661
703	1568	659
704	1569	656
705	1572	654
706	1574	652
707	1576	650
708	1578	647
709	1580	645
710	1583	643
711	1585	641
712	1587	639
713	1589	636
714	1591	634
715	1593	631
716	1595	629
717	1597	627
718	1599	625
719	1601	622
720	1603	620
721	1604	617
722	1606	615
723	1608	613
724	1609	610
725	1611	608
726	1613	605
727	1615	603
728	1617	601
729	1619	599
730	1621	596
731	1623	594
732	1625	592
733	1627	589
734	1628	587
735	1630	584
736	1632	582
737	1634	580
738	1635	577
739	1638	575
740	1640	573
741	1642	571
742	1644	568
743	1646	566
744	1647	564
745	1649	561
746	1651	559
747	1653	557
748	1656	554
749	1658	552
750	1660	550
751	1662	548
752	1663	545
753	1665	543
754	1667	541
755	1669	538
756	1671	536
757	1673	534
758	1675	531
759	1676	529
760	1678	527
761	1680	524
762	1682	522
763	1684	520
764	1687	518
765	1689	515
766	1690	513
767	1692	511
768	1694	509
769	1696	506
770	1698	504
771	1700	502
772	1701	499
773	1703	497
774	1705	495
775	1707	492
776	1708	490
777	1710	488
778	1712	485
779	1714	483
780	1716	481
781	1718	479
782	1720	476
783	1722	474
784	1724	472
785	1725	469
786	1727	467
787	1729	465
788	1731	463
789	1733	460
790	1734	458
791	1736	456
792	1738	453
793	1740	451
794	1741	449
795	1743	446
796	1745	444
797	1747	442
798	1749	440
799	1751	437
800	1753	435
801	1755	433
802	1756	431
803	1758	428
804	1761	426
805	1763	424
806	1764	422
807	1767	419
808	1769	417
809	1771	415
810	1773	413
811	1775	410
812	1777	408
813	1779	406
814	1780	404
815	1783	402
816	1785	399
817	1787	397
818	1788	395
819	1790	393
820	1792	390
821	1794	388
822	1796	386
823	1798	384
824	1800	381
825	1802	379
826	1804	377
827	1806	375
828	1808	372
829	1810	370
830	1812	368
831	1814	366
832	1816	364
833	1818	361
834	1820	359
835	1822	357
836	1823	355
837	1826	353
838	1828	350
839	1830	348
840	1832	346
841	1834	344
842	1836	341
843	1838	339
844	1839	337
845	1841	335
846	1843	332
847	1844	330
848	1846	328
849	1848	326
850	1850	323
851	1852	321
852	1854	319
853	1855	317
854	1858	315
855	1860	312
856	1861	310
857	1863	308
858	1865	306
859	1867	304
860	1869	301
861	1871	299
862	1873	297
863	1875	295
864	1877	292
865	1879	290
866	1880	288
867	1883	286
868	1885	284
869	1887	282
870	1889	279
871	1892	277
872	1893	275
873	1895	273
874	1897	271
875	1899	268
876	1901	266
877	1903	264
878	1906	262
879	1907	260
880	1909	257
881	1911	255
882	1913	253
883	1915	251
884	1916	249
885	1918	246
886	1920	244
887	1922	242
888	1925	240
889	1927	238
890	1928	235
891	1930	233
892	1932	231
893	1934	229
894	1936	227
895	1938	225
896	1940	222
897	1942	220
898	1944	218
899	1946	216
900	1948	214
901	1950	211
902	1951	209
903	1953	207
904	1955	205
905	1956	203
906	1958	200
907	1960	198
908	1961	196
909	1963	194
910	1965	192
911	1967	189
912	1969	187
913	1972	185
914	1973	183
915	1975	181
916	1977	179
917	1979	176
918	1981	174
919	1982	172
920	1984	170
921	1986	168
922	1988	165
923	1990	163
924	1992	161
925	1993	159
926	1996	157
927	1998	155
928	1999	152
929	2001	150
930	2003	148
931	2005	146
932	2007	144
933	2009	141
934	2011	139
935	2013	137
936	2015	135
937	2017	133
938	2018	131
939	2020	128
940	2022	126
941	2024	124
942	2026	122
943	2027	120
944	2030	118
945	2032	116
946	2034	113
947	2035	111
948	2037	109
949	2039	107
950	2041	105
951	2043	103
952	2045	100
953	2047	98
954	2048	96
955	2050	94
956	2052	92
957	2053	90
958	2056	87
959	2058	85
960	2060	83
961	2062	81
962	2064	79
963	2065	77
964	2067	74
965	2069	72
966	2070	70
967	2072	68
968	2074	66
969	2076	64
970	2078	62
971	2080	59
972	2082	57
973	2084	55
974	2086	53
975	2088	51
976	2090	49
977	2091	47
978	2093	44
979	2095	42
980	2097	40
981	2098	38
982	2100	36
983	2102	34
984	2104	32
985	2105	29
986	2107	27
987	2109	25
988	2110	23
989	2112	21
990	2114	19
991	2116	17
992	2118	14
993	2120	12
994	2121	10
995	2123	8
996	2125	6
997	2127	4
998	2128	2
999	2130	0
